,Fund,Fund Description,Chart Section Level 1,Chart Section Level 2,Agency,Agency Description,Organization,Organization Description,Activity,Activity Description,Function,Function Description,Account,Account Description,Total Indicator,Balance Forward,YTD Debits,YTD Credits,Ending Balance,Prior Year YTD Balance
0,0002,Energy Projects,ASSETS,,,,,,,,,,1023,Cash-Ann Arbor State Bank,N,5609222,3304,0,5612526,5607347
1,0002,Energy Projects,ASSETS,,,,,,,,,,2198,Loan Receivable,N,808450,0,0,808450,808450
2,0002,Energy Projects,ASSETS,,,,,,,,,,2218,Accounts Receivable,N,0,675492,379651,295841,0
3,0002,Energy Projects,ASSETS,,,,,,,,,,2236,Special Assessment-Energy Improvement Loan,N,50078225,0,6757348,43320877,48735988
4,0002,Energy Projects,ASSETS,,,,,,,,,,2400.0099,Equity In Pooled cash & investments,N,26395446,7870855,12180923,22085378,28214787
5,0002,Energy Projects,ASSETS,,,,,,,,,,2402,Taxes Rec Delinquent Invoices,N,0,1283251,0,1283251,1325951
6,0002,Energy Projects,ASSETS,,,,,,,,,,,,Y,82891343,9832902,19317922,73406323,84692523
7,0002,Energy Projects,LIABILITIES AND FUND EQUITY,LIABILITIES,,,,,,,,,4001,Accounts Payable,N,0,106000,106000,0,0
8,0002,Energy Projects,LIABILITIES AND FUND EQUITY,LIABILITIES,,,,,,,,,4002,Accrued Payroll,N,-36759,36759,0,0,0
9,0002,Energy Projects,LIABILITIES AND FUND EQUITY,LIABILITIES,,,,,,,,,4630,Retainages Payable,N,-102700,0,0,-102700,-102700
10,0002,Energy Projects,LIABILITIES AND FUND EQUITY,LIABILITIES,,,,,,,,,5551,Deferred Revenue,N,-44129327,0,0,-44129327,-50894684
11,0002,Energy Projects,LIABILITIES AND FUND EQUITY,LIABILITIES,,,,,,,,,,,Y,-44268786,142759,106000,-44232027,-50997384
12,0002,Energy Projects,LIABILITIES AND FUND EQUITY,FUND EQUITY,,,,,,,,,6606,Fund Balance,N,-28622557,0,0,-28622557,-45531065
13,0002,Energy Projects,LIABILITIES AND FUND EQUITY,FUND EQUITY,,,,,,,,,8826,Restricted For Other Purposes,N,-10000000,0,0,-10000000,-10000000
14,0002,Energy Projects,LIABILITIES AND FUND EQUITY,FUND EQUITY,,,,,,,,,,,Y,-38622557,0,0,-38622557,-55531065
15,0002,Energy Projects,LIABILITIES AND FUND EQUITY,,,,,,,,,,,,Y,-82891343,142759,106000,-82854584,-106528449
16,0002,Energy Projects,REVENUES,,018,Finance,1000,Administration,0000,Revenue,,,6200,Investment Income,N,0,31226,150693,-119467,-224718
17,0002,Energy Projects,REVENUES,,018,Finance,1000,Administration,0000,Revenue,,,6203,Interest/Dividends,N,0,0,3304,-3304,-486899
18,0002,Energy Projects,REVENUES,,018,Finance,1000,Administration,0000,Revenue,,,,,Y,0,31226,153997,-122771,-711617
19,0002,Energy Projects,REVENUES,,018,Finance,1000,Administration,,,,,,,Y,0,31226,153997,-122771,-711617
20,0002,Energy Projects,REVENUES,,018,Finance,,,,,,,,,Y,0,31226,153997,-122771,-711617
21,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1300,Energy Management,0000,Revenue,,,2710.0010,Operating Transfers 0010,N,0,98600,493000,-394400,0
22,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1300,Energy Management,0000,Revenue,,,2710.0057,Operating Transfers 0057,N,0,5200,26000,-20800,0
23,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1300,Energy Management,0000,Revenue,,,6999,Miscellaneous,N,0,0,0,0,-137904
24,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1300,Energy Management,0000,Revenue,,,,,Y,0,103800,519000,-415200,-137904
25,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1300,Energy Management,,,,,,,Y,0,103800,519000,-415200,-137904
26,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1350,PACE Revolving Loans,0000,Revenue,,,1340,Penalties/Delinquent Special Assessments & Taxes,N,0,0,64163,-64163,0
27,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1350,PACE Revolving Loans,0000,Revenue,,,1624,Special Asses - PACE,N,0,0,0,0,-42413
28,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1350,PACE Revolving Loans,0000,Revenue,,,,,Y,0,0,64163,-64163,-42413
29,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1350,PACE Revolving Loans,,,,,,,Y,0,0,64163,-64163,-42413
30,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1375,Community Energy Revolving Loans,0000,Revenue,,,2200,Program Income,N,0,0,675492,-675492,-615404
31,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1375,Community Energy Revolving Loans,0000,Revenue,,,,,Y,0,0,675492,-675492,-615404
32,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,1375,Community Energy Revolving Loans,,,,,,,Y,0,0,675492,-675492,-615404
33,0002,Energy Projects,REVENUES,,029,Environmental Coordination Ser,,,,,,,,,Y,0,103800,1258655,-1154855,-795721
34,0002,Energy Projects,REVENUES,,,,,,,,,,,,Y,0,135026,1412652,-1277626,-1507338
35,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,1100,Permanent Time Worked,N,0,342850,4541,338309,70395
36,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,1200,Temporary Pay,N,0,61226,0,61226,60712
37,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,2410,Rent City Vehicles,N,0,0,0,0,6177
38,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,2430,Contracted Services,N,0,106000,0,106000,0
39,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,2500,Printing,N,0,0,0,0,15000
40,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,4220,Life Insurance,N,0,520,8,512,118
41,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,4234,Disability Insurance,N,0,535,13,522,101
42,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,4250,Social Security-Employer,N,0,30915,348,30567,10031
43,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,4310,Municipal Service Charges,N,0,923200,0,923200,1369600
44,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,4423,Transfer To IT Fund,N,0,0,0,0,618400
45,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,4440,Unemployment Compensation,N,0,1610,0,1610,1450
46,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,7998,Transfer - Loan Recipients,N,0,2000000,0,2000000,0
47,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,1000,Administration,,,,,Y,0,3466856,4910,3461946,2151984
48,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1300,Energy Management,,,,,,,Y,0,3466856,4910,3461946,2151984
49,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1350,PACE Revolving Loans,1329,Energy Management,,,7998,Transfer - Loan Recipients,N,0,0,0,0,13344000
50,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1350,PACE Revolving Loans,1329,Energy Management,,,,,Y,0,0,0,0,13344000
51,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1350,PACE Revolving Loans,9500,Debt Service,,,4420,Transfer To Other Funds,N,0,7263941,0,7263941,7847280
52,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1350,PACE Revolving Loans,9500,Debt Service,,,,,Y,0,7263941,0,7263941,7847280
53,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,1350,PACE Revolving Loans,,,,,,,Y,0,7263941,0,7263941,21191280
54,0002,Energy Projects,EXPENSES,,029,Environmental Coordination Ser,,,,,,,,,Y,0,10730797,4910,10725887,23343264
55,0002,Energy Projects,EXPENSES,,,,,,,,,,,,Y,0,10730797,4910,10725887,23343264
56,0002,Energy Projects,,,,,,,,,,,,,Y,0,20841484,20841484,0,0
57,0003,Downtown Development Authority,ASSETS,,,,,,,,,,2400.0099,Equity In Pooled cash & investments,N,1425227,37420689,38998282,-152366,1753157
58,0003,Downtown Development Authority,ASSETS,,,,,,,,,,,,Y,1425227,37420689,38998282,-152366,1753157
59,0003,Downtown Development Authority,LIABILITIES AND FUND EQUITY,LIABILITIES,,,,,,,,,4002,Accrued Payroll,N,-1906060,1906060,0,0,0
60,0003,Downtown Development Authority,LIABILITIES AND FUND EQUITY,LIABILITIES,,,,,,,,,,,Y,-1906060,1906060,0,0,0
61,0003,Downtown Development Authority,LIABILITIES AND FUND EQUITY,FUND EQUITY,,,,,,,,,6606,Fund Balance,N,480833,0,0,480833,0
62,0003,Downtown Development Authority,LIABILITIES AND FUND EQUITY,FUND EQUITY,,,,,,,,,,,Y,480833,0,0,480833,0
63,0003,Downtown Development Authority,LIABILITIES AND FUND EQUITY,,,,,,,,,,,,Y,-1425227,1906060,0,480833,0
64,0003,Downtown Development Authority,REVENUES,,018,Finance,1000,Administration,0000,Revenue,,,6200,Investment Income,N,0,0,0,0,30763
65,0003,Downtown Development Authority,REVENUES,,018,Finance,1000,Administration,0000,Revenue,,,,,Y,0,0,0,0,30763
66,0003,Downtown Development Authority,REVENUES,,018,Finance,1000,Administration,,,,,,,Y,0,0,0,0,30763
67,0003,Downtown Development Authority,REVENUES,,018,Finance,,,,,,,,,Y,0,0,0,0,30763
68,0003,Downtown Development Authority,REVENUES,,,,,,,,,,,,Y,0,0,0,0,30763
69,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,1100,Permanent Time Worked,N,0,18502042,18675786,-173744,0
70,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,1102,Other Paid Time Off,N,0,505538,580222,-74684,0
71,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,1121,Vacation Used,N,0,1195122,1195122,0,0
72,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,1141,Personal Leave Used,N,0,385285,385285,0,0
73,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,1151,Sick Time Used,N,0,168472,168472,0,0
74,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,1161,Holiday,N,0,1321722,1321722,0,0
75,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,1200,Temporary Pay,N,0,0,0,0,-6480
76,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,1721,Annual Sick Leave Payout,N,0,418240,418240,0,0
77,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,1800,Equipment Allowance,N,0,39000,39000,0,0
78,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4220,Life Insurance,N,0,63458,64216,-758,0
79,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4230,Medical Insurance,N,0,3194580,3236344,-41764,143000
80,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4234,Disability Insurance,N,0,37956,38668,-712,0
81,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4237,Retiree Health Savings Account,N,0,60000,60000,0,500
82,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4238,Veba Funding,N,0,2688000,2688000,0,0
83,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4239,Retiree Medical Insurance,N,0,1283200,1283200,0,0
84,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4240,Workers Comp,N,0,91800,91800,0,0
85,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4250,Social Security-Employer,N,0,1660638,1679199,-18561,0
86,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4259,Retirement Contribution,N,0,5385600,5385600,0,0
87,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4260,Insurance Premiums,N,0,0,0,0,-1920940
88,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4270,Dental Insurance,N,0,289500,293284,-3784,0
89,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4280,Optical Insurance,N,0,30960,31362,-402,0
90,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,4440,Unemployment Compensation,N,0,85519,99577,-14058,0
91,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,1000,Administration,,,,,Y,0,37406632,37735099,-328467,-1783920
92,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,1000,Administration,,,,,,,Y,0,37406632,37735099,-328467,-1783920
93,0003,Downtown Development Authority,EXPENSES,,003,Downtown Development Authority,,,,,,,,,Y,0,37406632,37735099,-328467,-1783920
94,0003,Downtown Development Authority,EXPENSES,,,,,,,,,,,,Y,0,37406632,37735099,-328467,-1783920
95,0003,Downtown Development Authority,,,,,,,,,,,,,Y,0,76733381,76733381,0,0
96,0004,Maintenance Facility,ASSETS,,,,,,,,,,2400.0099,Equity In Pooled cash & investments,N,171181803,981880,4947096,167216587,173994369
97,0004,Maintenance Facility,ASSETS,,,,,,,,,,,,Y,171181803,981880,4947096,167216587,173994369
98,0004,Maintenance Facility,LIABILITIES AND FUND EQUITY,LIABILITIES,,,,,,,,,4001,Accounts Payable,N,-7620,1142939,1135319,0,0
99,0004,Maintenance Facility,LIABILITIES AND FUND EQUITY,LIABILITIES,,,,,,,,,4002,Accrued Payroll,N,-133313,133313,0,0,0
100,0004,Maintenance Facility,LIABILITIES AND FUND EQUITY,LIABILITIES,,,,,,,,,,,Y,-140933,1276252,1135319,0,0
101,0004,Maintenance Facility,LIABILITIES AND FUND EQUITY,FUND EQUITY,,,,,,,,,6606,Fund Balance,N,-171040870,0,0,-171040870,-177476423
102,0004,Maintenance Facility,LIABILITIES AND FUND EQUITY,FUND EQUITY,,,,,,,,,,,Y,-171040870,0,0,-171040870,-177476423
103,0004,Maintenance Facility,LIABILITIES AND FUND EQUITY,,,,,,,,,,,,Y,-171181803,1276252,1135319,-171040870,-177476423
104,0004,Maintenance Facility,REVENUES,,018,Finance,1000,Administration,0000,Revenue,,,6200,Investment Income,N,0,201406,981880,-780474,-1139328
105,0004,Maintenance Facility,REVENUES,,018,Finance,1000,Administration,0000,Revenue,,,6203,Interest/Dividends,N,0,0,0,0,445700
106,0004,Maintenance Facility,REVENUES,,018,Finance,1000,Administration,0000,Revenue,,,,,Y,0,201406,981880,-780474,-693628
107,0004,Maintenance Facility,REVENUES,,018,Finance,1000,Administration,,,,,,,Y,0,201406,981880,-780474,-693628
108,0004,Maintenance Facility,REVENUES,,018,Finance,,,,,,,,,Y,0,201406,981880,-780474,-693628
109,0004,Maintenance Facility,REVENUES,,,,,,,,,,,,Y,0,201406,981880,-780474,-693628
110,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,1100,Permanent Time Worked,N,0,0,0,0,111416
111,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,1121,Vacation Used,N,0,0,0,0,3714
112,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,2100,Professional Services,N,0,59619,0,59619,207836
113,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,2410,Rent City Vehicles,N,0,0,0,0,27096
114,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,2430,Contracted Services,N,0,0,0,0,1084750
115,0004,Maintenance Facility,EXPENSES,,040,Public Services,9495,Maintenance Facility Construct,4501,Engineering Maintenance Facility,,,4220,Life Insurance,N,0,0,0,0,195
